estado_civil;modo_solicitud;orden_solicitud;curso;asistencia_diurna_vespertina;cualificacion_previa;nota_cualificacion_previa;nacionalidad;cualificacion_madre;cualificacion_padre;ocupacion_madre;ocupacion_padre;nota_admision;desplazado;necesidades_educativas_especiales;deudor;matricula_al_dia;genero;becado;edad_al_matricularse;internacional;asignaturas_1sem_convalidadas;asignaturas_1sem_matriculadas;asignaturas_1sem_evaluadas;asignaturas_1sem_aprobadas;nota_media_1sem;asignaturas_1sem_sin_evaluacion;asignaturas_2sem_convalidadas;asignaturas_2sem_matriculadas;asignaturas_2sem_evaluadas;asignaturas_2sem_aprobadas;nota_media_2sem;asignaturas_2sem_sin_evaluacion;tasa_desempleo;tasa_inflacion;pib;objetivo
soltero/a;2a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;132.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;trabajadores_no_cualificados;127.1;si;no;no;si;mujer;no;19;no;0;6;7;6;12.857142857142858;0;0;6;7;6;13.666666666666666;0;13.9;-0.3;0.79;graduado
soltero/a;2a_fase_contingente_general;5;periodismo_y_comunicacion;diurna;educacion_secundaria;113.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;personal_de_limpieza;trabajadores_de_industrias_alimentarias_madera_confeccion_y_otras_industrias_y_artes;110.2;si;no;si;si;mujer;no;19;no;0;6;6;5;11.6;0;0;6;6;6;12.5;0;8.9;1.4;3.51;graduado
soltero/a;2a_fase_contingente_general;1;turismo;diurna;educacion_secundaria;115.0;portuguesa;otro_11o_ano;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;tecnicos_y_profesiones_de_nivel_intermedio;108.7;si;no;no;si;mujer;si;18;no;0;6;9;5;11.4;0;0;6;6;6;11.333333333333334;0;12.4;0.5;1.79;graduado
soltero/a;1a_fase_contingente_general;1;equicultura;diurna;educacion_secundaria;133.1;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_no_cualificados;138.0;si;no;no;si;mujer;no;20;no;0;6;11;6;13.333333333333334;0;0;6;10;6;13.0;0;16.2;0.3;-0.92;matriculado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;diseno_de_comunicacion;diurna;curso_de_especializacion_tecnologica;150.0;portuguesa;otro_11o_ano;educacion_basica_1er_ciclo_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_no_cualificados;147.7;no;no;si;si;mujer;si;22;no;2;7;7;7;13.571428571428571;0;5;9;9;9;13.77777777777778;0;12.4;0.5;1.79;graduado
casado/a;mayor_de_23_anos;1;higiene_oral;diurna;educacion_basica_3er_ciclo_o_equivalente;133.1;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;123.0;no;no;no;si;mujer;no;31;no;0;7;13;6;11.833333333333334;0;0;7;8;7;12.228571428571428;0;12.4;0.5;1.79;graduado
soltero/a;2a_fase_contingente_general;1;educacion_basica;diurna;educacion_secundaria;141.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_no_cualificadas;operadores_de_instalaciones_y_maquinaria_y_montadores;142.8;no;no;no;si;mujer;si;19;no;0;7;7;7;14.428571428571429;0;0;7;7;7;14.142857142857142;0;16.2;0.3;-0.92;graduado
soltero/a;1a_fase_contingente_general;2;animacion_y_diseno_multimedia;diurna;educacion_secundaria;140.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;tecnicos_y_profesiones_de_nivel_intermedio;tecnicos_y_profesiones_de_nivel_intermedio;138.3;si;no;no;si;mujer;no;18;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;12.4;0.5;1.79;matriculado
soltero/a;1a_fase_contingente_general;2;turismo;diurna;educacion_secundaria;136.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;125.2;si;no;no;si;mujer;si;18;no;0;6;8;6;12.285714285714286;0;0;6;9;5;12.4;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria_veterinaria;diurna;educacion_secundaria;140.0;portuguesa;otro_11o_ano;educacion_secundaria_12o_ano_o_equivalente;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;otra_situacion;141.8;no;no;no;si;mujer;no;21;no;0;5;7;5;14.4;0;0;5;5;5;13.8;0;7.6;2.6;0.32;graduado
soltero/a;2a_fase_contingente_general;5;enfermeria;diurna;educacion_secundaria;143.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;130.6;si;no;no;si;mujer;si;18;no;0;7;8;7;13.15;0;0;8;9;8;15.06875;0;13.9;-0.3;0.79;graduado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;gestion;diurna;curso_de_especializacion_tecnologica;130.0;caboverdiana;educacion_superior_licenciatura;educacion_basica_1er_ciclo_o_equivalente;especialistas_en_actividades_intelectuales_y_cientificas;operadores_de_instalaciones_y_maquinaria_y_montadores;130.0;no;no;si;no;hombre;no;25;si;0;5;6;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;abandono
soltero/a;estudiante_internacional_licenciatura;1;ingenieria_informatica;diurna;educacion_secundaria;133.1;brasilena;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;operadores_de_instalaciones_y_maquinaria_y_montadores;100.0;no;no;si;si;hombre;no;21;si;0;5;5;0;0.0;0;0;6;8;0;0.0;0;11.1;0.6;2.02;abandono
soltero/a;3a_fase_contingente_general;2;enfermeria;diurna;educacion_secundaria;129.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;119.0;si;no;no;si;mujer;si;19;no;0;8;8;7;12.342857142857143;0;0;8;8;7;12.342857142857143;0;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;2;periodismo_y_comunicacion;diurna;educacion_secundaria;132.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;124.3;si;no;no;si;mujer;no;19;no;0;6;6;5;12.2;0;0;6;7;5;10.8;0;10.8;1.4;1.74;matriculado
soltero/a;2a_fase_contingente_general;1;turismo;diurna;educacion_secundaria;118.0;portuguesa;7o_ano_antiguo;desconocido;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;estudiante;122.2;si;no;no;si;mujer;no;22;no;0;6;10;4;10.5;0;0;6;14;1;11.0;0;7.6;2.6;0.32;abandono
soltero/a;estudiante_internacional_licenciatura;1;gestion;diurna;educacion_secundaria;150.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;150.0;no;no;no;si;hombre;no;19;no;0;5;5;5;10.6;0;0;5;8;5;11.6;0;12.4;0.5;1.79;graduado
soltero/a;mayor_de_23_anos;1;servicio_social_nocturno;vespertina;educacion_basica_3er_ciclo_o_equivalente;133.1;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_de_servicios_personales_seguridad_y_vendedores;135.5;no;no;no;si;mujer;no;58;no;0;6;6;0;0.0;0;0;6;6;0;0.0;0;11.1;0.6;2.02;abandono
soltero/a;1a_fase_contingente_especial_madeira;2;servicio_social;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;127.3;si;no;no;si;mujer;si;19;no;0;6;8;4;11.25;0;0;6;6;6;12.0;0;10.8;1.4;1.74;graduado
soltero/a;cambio_de_curso;1;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;127.0;caboverdiana;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;127.0;si;no;no;si;hombre;no;23;si;3;9;11;6;10.5;0;4;10;10;10;11.7;0;9.4;-0.8;-3.12;graduado
soltero/a;1a_fase_contingente_general;2;periodismo_y_comunicacion;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;126.9;si;no;no;si;mujer;si;19;no;0;6;11;4;11.0;0;0;6;11;3;11.666666666666666;0;9.4;-0.8;-3.12;matriculado
soltero/a;3a_fase_contingente_general;3;enfermeria;diurna;educacion_secundaria;131.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;127.5;si;no;no;si;mujer;no;18;no;0;7;7;7;13.457142857142856;0;0;8;8;8;14.5125;0;13.9;-0.3;0.79;graduado
soltero/a;1a_fase_contingente_general;2;enfermeria_veterinaria;diurna;educacion_secundaria;130.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;otra_situacion;otra_situacion;122.0;no;no;no;si;mujer;no;20;no;0;5;6;5;12.6;0;0;5;8;4;12.333333333333334;0;7.6;2.6;0.32;graduado
soltero/a;2a_fase_contingente_general;5;enfermeria_veterinaria;diurna;educacion_secundaria;130.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;otra_situacion;trabajadores_cualificados_de_industria_construccion_y_artesania;115.8;no;no;no;no;mujer;no;18;no;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;abandono
soltero/a;2a_fase_contingente_general;1;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;130.0;portuguesa;educacion_superior_grado;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;121.6;no;no;no;si;mujer;no;18;no;0;6;6;6;13.666666666666666;0;0;6;8;5;13.6;0;8.9;1.4;3.51;graduado
soltero/a;2a_fase_contingente_general;4;gestion;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_cualificados_de_industria_construccion_y_artesania;116.4;si;no;si;si;mujer;si;18;no;0;5;5;5;11.6;0;0;5;5;5;11.8;0;11.1;0.6;2.02;graduado
soltero/a;mayor_de_23_anos;1;equicultura;diurna;educacion_secundaria;114.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;profesiones_de_las_fuerzas_armadas;120.0;no;no;no;si;mujer;no;24;no;0;6;9;6;12.571428571428571;0;0;6;10;5;12.833333333333334;0;11.1;0.6;2.02;abandono
soltero/a;2a_fase_contingente_general;4;educacion_basica;diurna;educacion_secundaria;143.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_de_servicios_personales_seguridad_y_vendedores;127.3;si;no;no;si;mujer;no;18;no;0;6;7;5;11.8;0;0;6;7;5;11.4;0;10.8;1.4;1.74;abandono
soltero/a;1a_fase_contingente_general;3;gestion;diurna;educacion_secundaria;127.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_cualificados_de_industria_construccion_y_artesania;123.5;si;no;no;si;mujer;si;19;no;0;5;5;5;11.6;0;0;5;11;3;12.666666666666666;0;9.4;-0.8;-3.12;matriculado
soltero/a;2a_fase_contingente_general;3;servicio_social;diurna;educacion_secundaria;141.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;125.6;si;no;no;si;mujer;si;19;no;0;6;8;6;11.333333333333334;0;0;6;6;6;11.833333333333334;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;1;turismo;diurna;educacion_secundaria;129.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;agricultoras_y_trabajadoras_cualificadas_de_agricultura_pesca_y_silvicultura;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;118.5;si;no;no;si;mujer;no;18;no;0;6;6;6;10.666666666666666;0;0;6;6;6;11.5;0;7.6;2.6;0.32;graduado
soltero/a;1a_fase_contingente_general;2;equicultura;diurna;educacion_secundaria;140.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;129.5;si;no;no;si;mujer;no;18;no;0;5;10;4;13.5;1;0;5;5;5;13.4;0;12.7;3.7;-1.7;matriculado
soltero/a;1a_fase_contingente_general;1;animacion_y_diseno_multimedia;diurna;educacion_secundaria;137.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_de_servicios_personales_seguridad_y_vendedores;134.6;si;no;no;si;mujer;si;19;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;graduado
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;enfermeria_veterinaria;diurna;educacion_secundaria;140.0;portuguesa;educacion_superior_master;educacion_superior_master;especialistas_en_actividades_intelectuales_y_cientificas;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;140.0;no;no;no;si;mujer;no;22;no;2;6;9;6;13.333333333333334;0;1;6;9;4;11.5;0;13.9;-0.3;0.79;graduado
soltero/a;1a_fase_contingente_general;1;turismo;diurna;educacion_secundaria;143.0;portuguesa;educacion_superior_licenciatura;educacion_basica_1er_ciclo_o_equivalente;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;133.2;si;no;no;si;mujer;no;19;no;0;6;9;5;13.4;0;0;6;16;2;13.5;0;10.8;1.4;1.74;matriculado
viudo/a;2a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;138.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;133.5;si;no;no;si;mujer;si;21;no;0;6;8;3;10.2;0;0;6;13;4;12.25;0;12.7;3.7;-1.7;matriculado
soltero/a;2a_fase_contingente_general;1;periodismo_y_comunicacion;diurna;educacion_secundaria;120.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;117.9;si;no;no;si;mujer;si;21;no;0;6;6;5;13.0;0;0;6;7;6;12.833333333333334;0;8.9;1.4;3.51;graduado
soltero/a;1a_fase_contingente_general;3;enfermeria;diurna;educacion_secundaria;144.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_cualificados_de_industria_construccion_y_artesania;128.0;si;no;no;si;mujer;si;18;no;0;8;11;7;12.90857142857143;0;0;8;11;7;12.90857142857143;0;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;5;educacion_basica;diurna;educacion_secundaria;123.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;otro_11o_ano;personal_administrativo;trabajadores_no_cualificados;113.2;si;no;no;si;mujer;no;20;no;0;6;12;4;12.0;0;0;6;11;1;10.0;0;10.8;1.4;1.74;abandono
soltero/a;1a_fase_contingente_general;3;turismo;diurna;educacion_secundaria;129.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;trabajadores_cualificados_de_industria_construccion_y_artesania;122.0;si;no;no;si;mujer;si;18;no;0;6;9;6;10.833333333333334;0;0;6;8;5;11.0;0;7.6;2.6;0.32;matriculado
soltero/a;1a_fase_contingente_especial_madeira;3;diseno_de_comunicacion;diurna;educacion_secundaria;152.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;personal_administrativo;operadores_de_instalaciones_y_maquinaria_y_montadores;156.9;si;no;no;si;mujer;no;19;no;0;6;6;6;15.333333333333334;0;0;6;9;6;15.833333333333334;0;12.7;3.7;-1.7;graduado
soltero/a;1a_fase_contingente_general;2;enfermeria;diurna;educacion_secundaria;130.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;125.1;si;no;no;si;mujer;si;18;no;0;7;9;6;12.816666666666668;0;0;8;11;6;12.875;0;11.1;0.6;2.02;matriculado
soltero/a;estudiante_internacional_licenciatura;1;gestion;diurna;educacion_secundaria;133.1;brasilena;curso_superior_especializado;educacion_secundaria_12o_ano_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;personal_administrativo;100.0;no;no;si;no;hombre;no;26;si;6;7;7;6;13.0;0;2;6;6;2;14.0;0;11.1;0.6;2.02;abandono
soltero/a;estudiante_internacional_licenciatura;1;ingenieria_informatica;diurna;educacion_secundaria;160.0;turca;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;operadoras_de_datos_contabilidad_estadistica_servicios_financieros_y_registro;vendedores;160.0;no;no;si;si;mujer;no;19;si;0;6;11;2;13.5;1;0;5;11;2;11.0;0;8.9;1.4;3.51;matriculado
casado/a;mayor_de_23_anos;1;servicio_social_nocturno;vespertina;educacion_secundaria;140.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;101.0;no;no;no;si;mujer;no;35;no;0;6;7;6;12.5;0;0;6;6;6;12.166666666666666;0;15.5;2.8;-4.06;graduado
soltero/a;3a_fase_contingente_general;1;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;133.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;121.5;si;no;no;si;mujer;si;19;no;0;6;7;6;13.0;0;0;6;6;6;14.333333333333334;0;12.4;0.5;1.79;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria_veterinaria;diurna;educacion_secundaria;138.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;126.8;si;no;no;si;hombre;no;18;no;0;5;6;4;11.75;0;0;5;10;5;12.571428571428571;1;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;5;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;142.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;tecnicos_y_profesiones_de_nivel_intermedio;132.9;no;no;no;si;hombre;no;19;no;0;5;5;4;12.5;0;0;5;5;4;14.25;0;7.6;2.6;0.32;graduado
soltero/a;1a_fase_contingente_general;1;animacion_y_diseno_multimedia;diurna;educacion_secundaria;115.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;134.3;si;no;no;si;hombre;no;25;no;16;17;19;17;11.61111111111111;0;14;17;22;17;12.055555555555555;0;12.4;0.5;1.79;graduado
soltero/a;2a_fase_contingente_general;6;turismo;diurna;educacion_secundaria;125.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;tecnicos_y_profesiones_de_nivel_intermedio;120.5;si;no;no;si;hombre;no;18;no;0;6;6;6;14.0;0;0;6;6;6;14.666666666666666;0;11.1;0.6;2.02;graduado
soltero/a;2a_fase_contingente_general;1;agronomia;diurna;educacion_secundaria;170.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_master;trabajadoras_no_cualificadas;trabajadores_de_servicios_personales_seguridad_y_vendedores;144.1;si;no;si;no;hombre;no;26;no;0;6;8;0;0.0;0;0;6;10;0;0.0;0;16.2;0.3;-0.92;abandono
soltero/a;cambio_de_curso;1;gestion_nocturno;vespertina;educacion_secundaria;140.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;agricultoras_y_trabajadoras_cualificadas_de_agricultura_pesca_y_silvicultura;agricultores_y_trabajadores_cualificados_de_agricultura_pesca_y_silvicultura;100.0;no;no;no;si;hombre;no;34;no;0;5;5;5;13.8;0;0;5;6;5;13.833333333333334;0;9.4;-0.8;-3.12;graduado
soltero/a;1a_fase_contingente_general;2;turismo;diurna;educacion_secundaria;110.0;portuguesa;educacion_superior_master;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;tecnicos_y_profesiones_de_nivel_intermedio;114.8;si;no;no;no;hombre;no;18;no;0;5;6;0;0.0;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;abandono
soltero/a;1a_fase_contingente_general;1;animacion_y_diseno_multimedia;diurna;educacion_secundaria;114.0;portuguesa;educacion_superior_grado;9o_ano_no_completado;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_de_servicios_personales_seguridad_y_vendedores;111.9;no;no;no;no;hombre;no;18;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;abandono
soltero/a;2a_fase_contingente_general;3;ingenieria_informatica;diurna;educacion_secundaria;138.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;tecnicos_y_profesiones_de_nivel_intermedio;125.4;si;no;no;si;hombre;si;18;no;0;5;9;4;12.25;0;0;5;9;3;12.333333333333334;0;8.9;1.4;3.51;abandono
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;agronomia;diurna;curso_de_especializacion_tecnologica;140.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;personal_administrativo;140.0;no;no;no;si;hombre;no;20;no;0;6;12;3;11.5;0;0;6;12;3;13.666666666666666;0;12.4;0.5;1.79;abandono
soltero/a;titular_de_diploma_de_especializacion_tecnologica;1;diseno_de_comunicacion;diurna;curso_de_especializacion_tecnologica;140.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;personal_administrativo;140.0;no;no;no;si;hombre;no;25;no;2;7;9;6;12.571428571428571;0;5;9;9;9;12.555555555555555;0;16.2;0.3;-0.92;graduado
soltero/a;2a_fase_contingente_general;1;equicultura;diurna;educacion_secundaria;132.0;portuguesa;educacion_superior_licenciatura;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;127.8;no;no;no;si;hombre;no;18;no;0;6;9;6;12.0;0;0;6;10;5;12.166666666666666;0;11.1;0.6;2.02;abandono
soltero/a;1a_fase_contingente_general;1;agronomia;diurna;educacion_secundaria;148.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;131.6;si;no;no;si;hombre;no;19;no;8;12;17;11;12.0;2;4;12;21;12;12.307692307692308;0;15.5;2.8;-4.06;graduado
soltero/a;1a_fase_contingente_general;1;animacion_y_diseno_multimedia;diurna;educacion_secundaria;132.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;personal_administrativo;representantes_del_poder_legislativo_y_ejecutivo_directores_y_gerentes_ejecutivos;119.4;si;no;no;si;hombre;no;20;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;abandono
soltero/a;3a_fase_contingente_general;2;servicio_social;diurna;educacion_secundaria;126.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_cualificados_de_industria_construccion_y_artesania;129.9;si;no;no;si;hombre;si;20;no;1;7;9;6;12.0;0;2;6;6;6;11.166666666666666;0;10.8;1.4;1.74;graduado
soltero/a;1a_fase_contingente_general;1;ingenieria_informatica;diurna;educacion_secundaria;121.0;portuguesa;educacion_superior_grado;educacion_secundaria_12o_ano_o_equivalente;especialistas_en_actividades_intelectuales_y_cientificas;tecnicos_y_profesiones_de_nivel_intermedio;114.0;no;no;no;si;hombre;no;20;no;0;5;9;4;11.6;0;0;5;7;4;12.25;2;7.6;2.6;0.32;matriculado
soltero/a;1a_fase_contingente_general;2;gestion;diurna;educacion_secundaria;120.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;personal_administrativo;trabajadores_no_cualificados;113.4;si;no;no;si;hombre;si;19;no;0;5;5;0;0.0;0;0;5;5;0;0.0;0;11.1;0.6;2.02;abandono
soltero/a;1a_fase_contingente_general;1;gestion;diurna;educacion_secundaria;123.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;trabajadores_de_servicios_personales_seguridad_y_vendedores;117.8;no;no;no;si;hombre;no;20;no;0;5;9;5;12.0;0;0;5;9;4;13.0;0;8.9;1.4;3.51;matriculado
soltero/a;1a_fase_contingente_general;6;enfermeria;diurna;educacion_secundaria;122.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;tecnicos_y_profesiones_de_nivel_intermedio;trabajadores_cualificados_de_industria_construccion_y_artesania;114.3;si;no;no;si;hombre;no;18;no;0;7;8;6;13.976666666666668;0;0;8;12;6;12.041666666666666;1;11.1;0.6;2.02;matriculado
soltero/a;1a_fase_contingente_general;1;gestion_de_publicidad_y_marketing;diurna;educacion_secundaria;136.0;portuguesa;educacion_superior_licenciatura;educacion_basica_2o_ciclo_o_equivalente;operadoras_de_datos_contabilidad_estadistica_servicios_financieros_y_registro;agricultores_ganaderos_pescadores_cazadores_y_recolectores_de_subsistencia;129.7;si;no;no;si;hombre;no;19;no;0;6;10;4;12.5;0;0;6;12;1;10.0;3;16.2;0.3;-0.92;matriculado
